Layer_number R1 R2 R3
0 0.5542640 0.5629270 0.5380760
1 0.6060190 0.5982670 0.5975830
2 0.5953030 0.5941630 0.5927950
3 0.5996350 0.5971270 0.5971270
4 0.5957590 0.5923390 0.5889190
5 0.5909710 0.5937070 0.5948470
6 0.5957590 0.5937070 0.5975830
7 0.5932510 0.5982670 0.5962150
8 0.6010030 0.5991790 0.6016870
9 0.6025990 0.5982670 0.6030550
10 0.6078430 0.6085270 0.6089830
11 0.6133150 0.6171910 0.6192430
12 0.6240310 0.6274510 0.6304150
13 0.6347470 0.6484270 0.6445510
14 0.6500230 0.6709990 0.6659830
15 0.6689470 0.6817150 0.6849070
16 0.6707710 0.6851350 0.6865030
17 0.6869590 0.6801190 0.6851350
18 0.6792070 0.6586870 0.6664390
19 0.6518470 0.6402190 0.6475150
